Time,Error,PID_Output,PWM_Left,PWM_Right
25702,3.00,105.04,180,34
25723,3.00,105.04,180,34
25744,3.00,105.03,180,34
25765,3.00,105.02,180,34
25786,3.00,105.02,180,34
25807,3.00,105.02,180,34
25828,3.00,105.01,180,34
25849,3.00,105.01,180,34
25870,3.00,105.01,180,34
25891,3.00,105.01,180,34
25912,3.00,105.01,180,34
25933,3.00,105.00,180,34
25954,3.00,105.00,180,34
25975,3.00,105.00,180,34
25996,3.00,105.00,180,34
26017,1.00,32.53,172,107
26038,1.00,31.38,171,108
26059,0.00,-4.44,135,144
26080,-1.00,-41.21,98,180
26101,-3.00,-114.49,25,180
26122,-3.00,-112.95,27,180
26143,-3.00,-111.53,28,180
26164,-3.00,-110.34,29,180
26185,-3.00,-109.37,30,180
26206,-3.00,-108.58,31,180
26227,-3.00,-107.93,32,180
26248,-3.00,-107.39,32,180
26269,-3.00,-106.96,33,180
26290,-3.00,-106.60,33,180
26311,-3.00,-106.31,33,180
26332,-3.00,-106.07,33,180
26353,-3.00,-105.88,34,180
26374,-3.00,-105.72,34,180
26395,-3.00,-105.59,34,180
26416,-3.00,-105.48,34,180
26437,-3.00,-105.39,34,180
26458,-3.00,-105.32,34,180
26479,-3.00,-105.26,34,180
26500,-3.00,-105.21,34,180
26521,-3.00,-105.18,34,180
26542,-3.00,-105.14,34,180
26563,-3.00,-105.12,34,180
26584,-3.00,-105.10,34,180
26605,-3.00,-105.08,34,180
26626,-3.00,-105.06,34,180
26647,-3.00,-105.05,34,180
26668,-3.00,-105.04,34,180
26689,-3.00,-105.04,34,180
26710,-3.00,-105.03,34,180
26731,-3.00,-105.02,34,180
26752,-3.00,-105.02,34,180
26773,-4.00,-141.25,0,180
26794,-4.00,-141.83,0,180
26815,-1.00,-31.39,108,171
26836,1.00,41.84,180,98
26857,1.00,41.83,180,98
26878,1.00,40.77,180,99
26899,1.00,39.75,179,100
26920,3.00,112.37,180,27
26941,3.00,111.64,180,28
26962,3.00,110.52,180,29
26983,3.00,109.53,180,30
27004,3.00,108.71,180,31
27025,3.00,108.03,180,31
27046,3.00,107.48,180,32
27067,3.00,107.03,180,32
27088,3.00,106.66,180,33
27109,3.00,106.36,180,33
27130,3.00,106.11,180,33
