Time,Error,PID_Output,PWM_Left,PWM_Right
165047,-4.00,-140.00,0,180
165068,-4.00,-140.00,0,180
165089,-4.00,-140.00,0,180
165110,-4.00,-140.00,0,180
165131,-4.00,-140.00,0,180
165152,-1.00,-35.00,105,175
165173,0.00,20.00,160,120
165194,0.00,0.00,140,140
165215,0.00,0.00,140,140
165236,0.00,0.00,140,140
165257,1.00,55.00,180,85
165278,1.00,35.00,175,105
165299,1.00,35.00,175,105
165320,1.00,35.00,175,105
165341,1.00,35.00,175,105
165362,1.00,35.00,175,105
165383,1.00,35.00,175,105
165404,1.00,35.00,175,105
165425,1.00,35.00,175,105
165446,1.00,35.00,175,105
165467,1.00,35.00,175,105
165488,0.00,-20.00,120,160
165509,0.00,0.00,140,140
165530,0.00,0.00,140,140
165551,-1.00,-35.00,105,175
165572,-1.00,-35.00,105,175
165593,-1.00,-35.00,105,175
165614,-1.00,-35.00,105,175
165635,-4.00,-140.00,0,180
165656,-4.00,-140.00,0,180
165677,-4.00,-140.00,0,180
165698,-4.00,-140.00,0,180
165719,-4.00,-140.00,0,180
165740,-1.00,-35.00,105,175
165761,-1.00,-35.00,105,175
165782,0.00,20.00,160,120
165803,0.00,0.00,140,140
165824,1.00,55.00,180,85
165845,1.00,35.00,175,105
165866,1.00,35.00,175,105
165887,1.00,35.00,175,105
165908,1.00,35.00,175,105
165929,1.00,35.00,175,105
165950,1.00,35.00,175,105
165971,1.00,35.00,175,105
165992,1.00,35.00,175,105
166013,1.00,35.00,175,105
166034,3.00,105.00,180,35
166055,3.00,105.00,180,35
166076,3.00,105.00,180,35
166097,3.00,105.00,180,35
166118,3.00,105.00,180,35
166139,3.00,105.00,180,35
166160,3.00,105.00,180,35
166181,3.00,105.00,180,35
166202,3.00,105.00,180,35
166223,3.00,105.00,180,35
166244,3.00,105.00,180,35
166265,3.00,105.00,180,35
166286,3.00,105.00,180,35
166307,3.00,105.00,180,35
166328,3.00,105.00,180,35
166349,3.00,105.00,180,35
166370,3.00,105.00,180,35
166391,3.00,105.00,180,35
166412,3.00,105.00,180,35
166433,3.00,105.00,180,35
166454,3.00,105.00,180,35
166475,3.00,105.00,180,35
166496,3.00,105.00,180,35
166517,3.00,105.00,180,35
166538,3.00,105.00,180,35
166559,3.00,105.00,180,35
166580,3.00,105.00,180,35
166601,3.00,105.00,180,35
166622,3.00,105.00,180,35
166643,3.00,105.00,180,35
166664,3.00,105.00,180,35
166685,3.00,105.00,180,35
166706,3.00,105.00,180,35
166727,3.00,105.00,180,35
166748,3.00,105.00,180,35
166769,3.00,105.00,180,35
166790,3.00,105.00,180,35
166811,3.00,105.00,180,35
166832,3.00,105.00,180,35
166853,3.00,105.00,180,35
166874,1.00,-5.00,135,145
166895,1.00,35.00,175,105
166916,-1.00,-75.00,65,180
166937,-4.00,-200.00,0,180
166958,-3.00,-105.00,35,180
166979,-3.00,-105.00,35,180
167000,-3.00,-105.00,35,180
167021,-3.00,-105.00,35,180
167042,-3.00,-105.00,35,180
167063,-3.00,-105.00,35,180
167084,-3.00,-105.00,35,180
167105,-3.00,-105.00,35,180
167126,-3.00,-105.00,35,180
167147,-3.00,-105.00,35,180
167168,-3.00,-105.00,35,180
167189,-3.00,-105.00,35,180
167210,-3.00,-105.00,35,180
167231,-3.00,-105.00,35,180
167252,-3.00,-105.00,35,180
167273,-3.00,-105.00,35,180
167294,-3.00,-105.00,35,180
167315,-3.00,-105.00,35,180
167336,-3.00,-105.00,35,180
167357,-3.00,-105.00,35,180
167378,-3.00,-105.00,35,180
167399,-3.00,-105.00,35,180
167420,-3.00,-105.00,35,180
167441,-3.00,-105.00,35,180
